[2026-07-10 15:05:33] (1/240, 0.4%) val-cvrp-a32k5-sa-rules-s42
[2026-07-10 15:18:49] (106/240, 44.2%) val-jss-la01-portfolio-hybrid-s1001
[2026-07-10 15:18:51] (107/240, 44.6%) val-jss-la01-portfolio-hybrid-s2022
[2026-07-10 15:18:52] (108/240, 45%) val-jss-la01-portfolio-hybrid-s3033
[2026-07-10 15:18:54] (109/240, 45.4%) val-jss-la01-portfolio-hybrid-s4044
[2026-07-10 15:18:55] (110/240, 45.8%) val-jss-la01-portfolio-hybrid-s5055
[2026-07-10 15:18:57] (111/240, 46.2%) val-jss-la01-portfolio-learned-s42
[2026-07-10 15:18:59] (112/240, 46.7%) val-jss-la01-portfolio-learned-s123
[2026-07-10 15:19:00] (113/240, 47.1%) val-jss-la01-portfolio-learned-s555
[2026-07-10 15:19:02] (114/240, 47.5%) val-jss-la01-portfolio-learned-s777
[2026-07-10 15:19:03] (115/240, 47.9%) val-jss-la01-portfolio-learned-s999
[2026-07-10 15:19:05] (116/240, 48.3%) val-jss-la01-portfolio-learned-s1001
[2026-07-10 15:19:07] (117/240, 48.8%) val-jss-la01-portfolio-learned-s2022
[2026-07-10 15:19:08] (118/240, 49.2%) val-jss-la01-portfolio-learned-s3033
[2026-07-10 15:19:10] (119/240, 49.6%) val-jss-la01-portfolio-learned-s4044
[2026-07-10 15:19:11] (120/240, 50%) val-jss-la01-portfolio-learned-s5055
[2026-07-10 15:19:13] (121/240, 50.4%) val-vrptw-c101-sa-rules-s42
[2026-07-10 15:19:15] (122/240, 50.8%) val-vrptw-c101-sa-rules-s123
[2026-07-10 15:19:16] (123/240, 51.2%) val-vrptw-c101-sa-rules-s555
[2026-07-10 15:19:18] (124/240, 51.7%) val-vrptw-c101-sa-rules-s777
[2026-07-10 15:19:19] (125/240, 52.1%) val-vrptw-c101-sa-rules-s999
[2026-07-10 15:19:21] (126/240, 52.5%) val-vrptw-c101-sa-rules-s1001
[2026-07-10 15:19:22] (127/240, 52.9%) val-vrptw-c101-sa-rules-s2022
[2026-07-10 15:19:24] (128/240, 53.3%) val-vrptw-c101-sa-rules-s3033
[2026-07-10 15:19:25] (129/240, 53.8%) val-vrptw-c101-sa-rules-s4044
[2026-07-10 15:19:27] (130/240, 54.2%) val-vrptw-c101-sa-rules-s5055
[2026-07-10 15:19:29] (131/240, 54.6%) val-vrptw-c101-sa-hybrid-s42
[2026-07-10 15:19:30] (132/240, 55%) val-vrptw-c101-sa-hybrid-s123
[2026-07-10 15:19:32] (133/240, 55.4%) val-vrptw-c101-sa-hybrid-s555
[2026-07-10 15:19:33] (134/240, 55.8%) val-vrptw-c101-sa-hybrid-s777
[2026-07-10 15:19:35] (135/240, 56.2%) val-vrptw-c101-sa-hybrid-s999
[2026-07-10 15:19:36] (136/240, 56.7%) val-vrptw-c101-sa-hybrid-s1001
[2026-07-10 15:19:38] (137/240, 57.1%) val-vrptw-c101-sa-hybrid-s2022
[2026-07-10 15:19:39] (138/240, 57.5%) val-vrptw-c101-sa-hybrid-s3033
[2026-07-10 15:19:41] (139/240, 57.9%) val-vrptw-c101-sa-hybrid-s4044
[2026-07-10 15:19:43] (140/240, 58.3%) val-vrptw-c101-sa-hybrid-s5055
[2026-07-10 15:19:44] (141/240, 58.8%) val-vrptw-c101-sa-learned-s42
[2026-07-10 15:19:46] (142/240, 59.2%) val-vrptw-c101-sa-learned-s123
[2026-07-10 15:19:47] (143/240, 59.6%) val-vrptw-c101-sa-learned-s555
[2026-07-10 15:19:49] (144/240, 60%) val-vrptw-c101-sa-learned-s777
[2026-07-10 15:19:51] (145/240, 60.4%) val-vrptw-c101-sa-learned-s999
[2026-07-10 15:19:52] (146/240, 60.8%) val-vrptw-c101-sa-learned-s1001
[2026-07-10 15:19:54] (147/240, 61.2%) val-vrptw-c101-sa-learned-s2022
[2026-07-10 15:19:56] (148/240, 61.7%) val-vrptw-c101-sa-learned-s3033
[2026-07-10 15:19:57] (149/240, 62.1%) val-vrptw-c101-sa-learned-s4044
[2026-07-10 15:19:59] (150/240, 62.5%) val-vrptw-c101-sa-learned-s5055
[2026-07-10 15:20:00] (151/240, 62.9%) val-vrptw-c101-portfolio-rules-s42
[2026-07-10 15:20:08] (152/240, 63.3%) val-vrptw-c101-portfolio-rules-s123
[2026-07-10 15:20:15] (153/240, 63.8%) val-vrptw-c101-portfolio-rules-s555
[2026-07-10 15:20:22] (154/240, 64.2%) val-vrptw-c101-portfolio-rules-s777
[2026-07-10 15:20:29] (155/240, 64.6%) val-vrptw-c101-portfolio-rules-s999
[2026-07-10 15:20:36] (156/240, 65%) val-vrptw-c101-portfolio-rules-s1001
[2026-07-10 15:20:43] (157/240, 65.4%) val-vrptw-c101-portfolio-rules-s2022
[2026-07-10 15:20:50] (158/240, 65.8%) val-vrptw-c101-portfolio-rules-s3033
[2026-07-10 15:20:57] (159/240, 66.2%) val-vrptw-c101-portfolio-rules-s4044
[2026-07-10 15:21:04] (160/240, 66.7%) val-vrptw-c101-portfolio-rules-s5055
[2026-07-10 15:21:11] (161/240, 67.1%) val-vrptw-c101-portfolio-hybrid-s42
[2026-07-10 15:21:19] (162/240, 67.5%) val-vrptw-c101-portfolio-hybrid-s123
[2026-07-10 15:21:26] (163/240, 67.9%) val-vrptw-c101-portfolio-hybrid-s555
[2026-07-10 15:21:33] (164/240, 68.3%) val-vrptw-c101-portfolio-hybrid-s777
[2026-07-10 15:21:40] (165/240, 68.8%) val-vrptw-c101-portfolio-hybrid-s999
[2026-07-10 15:21:47] (166/240, 69.2%) val-vrptw-c101-portfolio-hybrid-s1001
[2026-07-10 15:21:55] (167/240, 69.6%) val-vrptw-c101-portfolio-hybrid-s2022
[2026-07-10 15:22:02] (168/240, 70%) val-vrptw-c101-portfolio-hybrid-s3033
[2026-07-10 15:22:09] (169/240, 70.4%) val-vrptw-c101-portfolio-hybrid-s4044
[2026-07-10 15:22:16] (170/240, 70.8%) val-vrptw-c101-portfolio-hybrid-s5055
[2026-07-10 15:22:23] (171/240, 71.2%) val-vrptw-c101-portfolio-learned-s42
[2026-07-10 15:22:31] (172/240, 71.7%) val-vrptw-c101-portfolio-learned-s123
[2026-07-10 15:22:38] (173/240, 72.1%) val-vrptw-c101-portfolio-learned-s555
[2026-07-10 15:22:45] (174/240, 72.5%) val-vrptw-c101-portfolio-learned-s777
[2026-07-10 15:22:52] (175/240, 72.9%) val-vrptw-c101-portfolio-learned-s999
[2026-07-10 15:22:59] (176/240, 73.3%) val-vrptw-c101-portfolio-learned-s1001
[2026-07-10 15:23:06] (177/240, 73.8%) val-vrptw-c101-portfolio-learned-s2022
[2026-07-10 15:23:14] (178/240, 74.2%) val-vrptw-c101-portfolio-learned-s3033
[2026-07-10 15:23:21] (179/240, 74.6%) val-vrptw-c101-portfolio-learned-s4044
[2026-07-10 15:23:28] (180/240, 75%) val-vrptw-c101-portfolio-learned-s5055
[2026-07-10 15:23:35] (181/240, 75.4%) val-nrp-n012w8-sa-rules-s42
[2026-07-10 15:23:38] (182/240, 75.8%) val-nrp-n012w8-sa-rules-s123
[2026-07-10 15:23:41] (183/240, 76.2%) val-nrp-n012w8-sa-rules-s555
[2026-07-10 15:23:44] (184/240, 76.7%) val-nrp-n012w8-sa-rules-s777
[2026-07-10 15:23:47] (185/240, 77.1%) val-nrp-n012w8-sa-rules-s999
[2026-07-10 15:23:51] (186/240, 77.5%) val-nrp-n012w8-sa-rules-s1001
[2026-07-10 15:23:54] (187/240, 77.9%) val-nrp-n012w8-sa-rules-s2022
[2026-07-10 15:23:57] (188/240, 78.3%) val-nrp-n012w8-sa-rules-s3033
[2026-07-10 15:24:00] (189/240, 78.8%) val-nrp-n012w8-sa-rules-s4044
[2026-07-10 15:24:03] (190/240, 79.2%) val-nrp-n012w8-sa-rules-s5055
[2026-07-10 15:24:06] (191/240, 79.6%) val-nrp-n012w8-sa-hybrid-s42
[2026-07-10 15:24:09] (192/240, 80%) val-nrp-n012w8-sa-hybrid-s123
[2026-07-10 15:24:11] (193/240, 80.4%) val-nrp-n012w8-sa-hybrid-s555
[2026-07-10 15:24:14] (194/240, 80.8%) val-nrp-n012w8-sa-hybrid-s777
[2026-07-10 15:24:17] (195/240, 81.2%) val-nrp-n012w8-sa-hybrid-s999
[2026-07-10 15:24:19] (196/240, 81.7%) val-nrp-n012w8-sa-hybrid-s1001
[2026-07-10 15:24:22] (197/240, 82.1%) val-nrp-n012w8-sa-hybrid-s2022
[2026-07-10 15:24:25] (198/240, 82.5%) val-nrp-n012w8-sa-hybrid-s3033
[2026-07-10 15:24:27] (199/240, 82.9%) val-nrp-n012w8-sa-hybrid-s4044
[2026-07-10 15:24:30] (200/240, 83.3%) val-nrp-n012w8-sa-hybrid-s5055
[2026-07-10 15:24:32] (201/240, 83.8%) val-nrp-n012w8-sa-learned-s42
[2026-07-10 15:24:35] (202/240, 84.2%) val-nrp-n012w8-sa-learned-s123
[2026-07-10 15:24:38] (203/240, 84.6%) val-nrp-n012w8-sa-learned-s555
[2026-07-10 15:24:40] (204/240, 85%) val-nrp-n012w8-sa-learned-s777
[2026-07-10 15:24:43] (205/240, 85.4%) val-nrp-n012w8-sa-learned-s999
[2026-07-10 15:24:46] (206/240, 85.8%) val-nrp-n012w8-sa-learned-s1001
[2026-07-10 15:24:48] (207/240, 86.2%) val-nrp-n012w8-sa-learned-s2022
[2026-07-10 15:24:51] (208/240, 86.7%) val-nrp-n012w8-sa-learned-s3033
[2026-07-10 15:24:53] (209/240, 87.1%) val-nrp-n012w8-sa-learned-s4044
[2026-07-10 15:24:56] (210/240, 87.5%) val-nrp-n012w8-sa-learned-s5055
[2026-07-10 15:24:59] (211/240, 87.9%) val-nrp-n012w8-portfolio-rules-s42
[2026-07-10 15:25:02] (212/240, 88.3%) val-nrp-n012w8-portfolio-rules-s123
[2026-07-10 15:25:05] (213/240, 88.8%) val-nrp-n012w8-portfolio-rules-s555
[2026-07-10 15:25:08] (214/240, 89.2%) val-nrp-n012w8-portfolio-rules-s777
[2026-07-10 15:25:11] (215/240, 89.6%) val-nrp-n012w8-portfolio-rules-s999
[2026-07-10 15:25:14] (216/240, 90%) val-nrp-n012w8-portfolio-rules-s1001
[2026-07-10 15:25:18] (217/240, 90.4%) val-nrp-n012w8-portfolio-rules-s2022
[2026-07-10 15:25:21] (218/240, 90.8%) val-nrp-n012w8-portfolio-rules-s3033
[2026-07-10 15:25:24] (219/240, 91.2%) val-nrp-n012w8-portfolio-rules-s4044
[2026-07-10 15:25:27] (220/240, 91.7%) val-nrp-n012w8-portfolio-rules-s5055
[2026-07-10 15:25:30] (221/240, 92.1%) val-nrp-n012w8-portfolio-hybrid-s42
[2026-07-10 15:25:33] (222/240, 92.5%) val-nrp-n012w8-portfolio-hybrid-s123
[2026-07-10 15:25:36] (223/240, 92.9%) val-nrp-n012w8-portfolio-hybrid-s555
[2026-07-10 15:25:38] (224/240, 93.3%) val-nrp-n012w8-portfolio-hybrid-s777
[2026-07-10 15:25:41] (225/240, 93.8%) val-nrp-n012w8-portfolio-hybrid-s999
[2026-07-10 15:25:43] (226/240, 94.2%) val-nrp-n012w8-portfolio-hybrid-s1001
[2026-07-10 15:25:46] (227/240, 94.6%) val-nrp-n012w8-portfolio-hybrid-s2022
[2026-07-10 15:25:49] (228/240, 95%) val-nrp-n012w8-portfolio-hybrid-s3033
[2026-07-10 15:25:51] (229/240, 95.4%) val-nrp-n012w8-portfolio-hybrid-s4044
[2026-07-10 15:25:54] (230/240, 95.8%) val-nrp-n012w8-portfolio-hybrid-s5055
[2026-07-10 15:25:57] (231/240, 96.2%) val-nrp-n012w8-portfolio-learned-s42
[2026-07-10 15:26:00] (232/240, 96.7%) val-nrp-n012w8-portfolio-learned-s123
[2026-07-10 15:26:02] (233/240, 97.1%) val-nrp-n012w8-portfolio-learned-s555
[2026-07-10 15:26:05] (234/240, 97.5%) val-nrp-n012w8-portfolio-learned-s777
[2026-07-10 15:26:08] (235/240, 97.9%) val-nrp-n012w8-portfolio-learned-s999
[2026-07-10 15:26:10] (236/240, 98.3%) val-nrp-n012w8-portfolio-learned-s1001
[2026-07-10 15:26:13] (237/240, 98.8%) val-nrp-n012w8-portfolio-learned-s2022
[2026-07-10 15:26:16] (238/240, 99.2%) val-nrp-n012w8-portfolio-learned-s3033
[2026-07-10 15:26:19] (239/240, 99.6%) val-nrp-n012w8-portfolio-learned-s4044
[2026-07-10 15:26:21] (240/240, 100%) val-nrp-n012w8-portfolio-learned-s5055
Done. 240 experiments complete.
